date,rainfall_mm,temp_c
2019-01-18,0.22,25.01
2019-01-19,0.3,25.58
2019-01-20,0.63,26.2
2019-01-21,7.66,26.01
2019-01-22,3.32,25.65
2019-01-23,11.08,25.36
2019-01-24,19.09,25.26
2019-01-25,8.6,25.8
2019-01-26,0.29,25.71
2019-01-27,0.57,25.49
2019-01-28,1.66,25.23
2019-01-29,3.6,25.84
2019-01-30,1.02,25.66
2019-01-31,0.02,25.63
2019-02-01,1.77,25.15
2019-02-02,5.54,23.65
2019-02-03,0.27,25.12
2019-02-04,0.26,24.45
2019-02-05,0.27,24.93
2019-02-06,0.09,25.62
2019-02-07,0.57,26.03
2019-02-08,0.11,25.73
2019-02-09,0.0,24.96
2019-02-10,0.0,24.63
2019-02-11,0.0,24.9
2019-02-12,0.0,23.88
2019-02-13,0.0,24.3
2019-02-14,0.0,24.98
2019-02-15,0.02,24.01
2019-02-16,0.04,23.33
2019-02-17,0.05,24.56
2019-02-18,0.02,24.63
2019-02-19,0.09,26.05
2019-02-20,0.84,25.15
2019-02-21,1.1,25.71
2019-02-22,1.66,25.44
2019-02-23,3.38,25.31
2019-02-24,0.66,25.44
2019-02-25,1.72,25.34
2019-02-26,1.02,25.1
2019-02-27,1.1,25.52
2019-02-28,4.63,24.15
2019-03-01,3.05,24.62
2019-03-02,1.88,26.29
2019-03-03,0.16,25.25
2019-03-04,0.8,24.96
2019-03-05,1.17,25.88
2019-03-06,1.35,25.48
2019-03-07,1.57,25.86
2019-03-08,8.94,25.59
2019-03-09,1.66,25.46
2019-03-10,1.43,25.44
2019-03-11,0.82,25.63
2019-03-12,1.22,25.46
2019-03-13,1.25,25.83
2019-03-14,1.13,25.97
2019-03-15,0.83,26.6
2019-03-16,1.32,26.55
2019-03-17,0.21,26.45
2019-03-18,0.05,26.62
2019-03-19,0.23,26.33
2019-03-20,0.01,25.99
2019-03-21,3.54,26.6
2019-03-22,0.03,26.05
2019-03-23,0.02,25.39
2019-03-24,0.03,25.32
2019-03-25,0.04,25.09
2019-03-26,0.02,26.05
2019-03-27,1.86,26.56
2019-03-28,0.57,27.03
2019-03-29,2.58,26.93
2019-03-30,2.31,26.14
2019-03-31,3.58,26.26
2019-04-01,0.63,26.61
2019-04-02,1.18,26.82
2019-04-03,2.12,27.27
2019-04-04,2.11,27.62
2019-04-05,2.03,27.11
2019-04-06,1.18,26.62
2019-04-07,2.55,26.33
2019-04-08,1.58,26.31
2019-04-09,2.41,25.55
2019-04-10,0.82,26.36
2019-04-11,1.71,25.26
2019-04-12,1.34,26.0
2019-04-13,1.78,25.22
2019-04-14,2.57,25.12
2019-04-15,0.39,26.21
2019-04-16,4.63,26.63
2019-04-17,4.25,26.95
2019-04-18,1.86,26.93
2019-04-19,2.94,26.49
2019-04-20,9.21,25.99
2019-04-21,0.5,26.2
2019-04-22,4.34,25.6
2019-04-23,4.96,25.93
2019-04-24,9.73,26.49
2019-04-25,2.54,25.74
2019-04-26,1.15,25.97
2019-04-27,1.11,26.93
2019-04-28,4.46,27.0
2019-04-29,7.59,26.57
2019-04-30,2.53,26.21
2019-05-01,1.89,25.94
2019-05-02,0.7,25.93
2019-05-03,1.4,25.91
2019-05-04,4.57,25.84
2019-05-05,0.26,26.06
2019-05-06,4.4,25.95
2019-05-07,12.89,26.0
2019-05-08,22.36,25.63
2019-05-09,7.26,25.65
2019-05-10,3.25,26.17
2019-05-11,3.47,25.3
2019-05-12,7.42,26.36
2019-05-13,8.29,25.44
2019-05-14,5.42,25.69
2019-05-15,49.37,24.73
2019-05-16,19.25,24.48
2019-05-17,0.12,25.29
2019-05-18,0.72,25.4
2019-05-19,0.15,25.3
2019-05-20,3.06,25.47
2019-05-21,2.17,25.03
2019-05-22,0.54,25.95
2019-05-23,2.54,26.16
2019-05-24,3.14,25.66
2019-05-25,1.38,26.09
2019-05-26,3.29,25.34
2019-05-27,1.42,25.67
2019-05-28,4.89,25.42
2019-05-29,11.48,24.83
2019-05-30,9.57,25.22
2019-05-31,7.58,25.23
2019-06-01,8.27,24.84
2019-06-02,3.97,24.79
2019-06-03,0.96,25.34
2019-06-04,7.79,25.19
2019-06-05,4.13,24.68
2019-06-06,5.59,24.49
2019-06-07,7.62,24.78
2019-06-08,4.07,24.71
2019-06-09,72.45,25.06
2019-06-10,19.3,24.82
2019-06-11,1.14,24.5
2019-06-12,4.19,23.69
2019-06-13,4.38,25.17
2019-06-14,4.92,24.99
2019-06-15,3.08,25.56
2019-06-16,2.4,25.72
2019-06-17,6.19,26.06
2019-06-18,0.79,25.95
2019-06-19,1.14,26.08
2019-06-20,4.29,25.0
2019-06-21,5.9,25.04
2019-06-22,25.42,24.84
2019-06-23,2.98,24.87
2019-06-24,7.91,23.82
2019-06-25,11.78,23.86
2019-06-26,23.73,24.6
2019-06-27,15.67,24.59
2019-06-28,20.79,24.34
2019-06-29,4.02,24.66
2019-06-30,5.74,25.35
2019-07-01,9.53,25.35
2019-07-02,3.24,25.24
2019-07-03,4.47,25.73
2019-07-04,10.75,24.18
2019-07-05,1.35,24.16
2019-07-06,1.2,25.77
2019-07-07,3.3,25.26
2019-07-08,13.46,24.07
2019-07-09,5.02,23.57
2019-07-10,5.56,24.09
2019-07-11,30.63,23.49
2019-07-12,4.72,23.42
2019-07-13,1.26,24.1
2019-07-14,3.86,25.06
2019-07-15,7.19,24.13
2019-07-16,12.74,24.53
2019-07-17,1.35,24.88
2019-07-18,6.36,23.91
2019-07-19,13.89,23.31
2019-07-20,9.96,23.91
2019-07-21,1.84,24.45
2019-07-22,18.61,23.89
2019-07-23,9.09,24.34
2019-07-24,6.39,24.42
2019-07-25,13.88,24.88
2019-07-26,19.33,24.0
2019-07-27,6.87,24.29
2019-07-28,10.35,23.92
2019-07-29,10.84,23.56
2019-07-30,1.49,24.33
2019-07-31,1.49,24.8
2019-08-01,9.84,24.23
2019-08-02,14.18,23.48
2019-08-03,3.92,23.14
2019-08-04,1.24,23.95
2019-08-05,4.1,23.44
2019-08-06,4.58,23.98
2019-08-07,4.65,24.31
2019-08-08,27.2,23.25
2019-08-09,2.21,23.97
2019-08-10,1.34,23.95
2019-08-11,1.37,24.39
2019-08-12,2.35,24.05
